stimulus_presentation_id,stimulus_block,start_time,stop_time,frame,temporal_frequency,phase,color,y_position,orientation,stimulus_name,x_position,size,spatial_frequency,contrast,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
507,0.0,211.408,211.6582,null,4.0,"[3644.93333333, 3644.93333333]",null,30.0,90.0,gabors,20.0,"[20.0, 20.0]",0.08,0.8,0.25019448,8,,,0,,False,4,train,2
508,0.0,211.6582,211.90839,null,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,0.0,gabors,30.0,"[20.0, 20.0]",0.08,0.8,0.25019448,222,,,0,,False,0,train,0
509,0.0,211.90839,212.15861,null,4.0,"[3644.93333333, 3644.93333333]",null,40.0,45.0,gabors,0.0,"[20.0, 20.0]",0.08,0.8,0.25021802,223,,,0,,False,0,train,1
510,0.0,212.15861,212.40883,null,4.0,"[3644.93333333, 3644.93333333]",null,30.0,90.0,gabors,30.0,"[20.0, 20.0]",0.08,0.8,0.25021802,192,,,0,,False,2,test,2
511,0.0,212.40883,212.65905,null,4.0,"[3644.93333333, 3644.93333333]",null,-30.0,45.0,gabors,20.0,"[20.0, 20.0]",0.08,0.8,0.25021802,37,,,0,,False,2,test,1
512,0.0,212.65905,212.90927,null,4.0,"[3644.93333333, 3644.93333333]",null,20.0,45.0,gabors,30.0,"[20.0, 20.0]",0.08,0.8,0.25021802,224,,,0,,False,0,train,1
513,0.0,212.90927,213.15947,null,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,0.0,gabors,-30.0,"[20.0, 20.0]",0.08,0.8,0.25020198,225,,,0,,False,0,train,0
514,0.0,213.15947,213.40967,null,4.0,"[3644.93333333, 3644.93333333]",null,10.0,45.0,gabors,-40.0,"[20.0, 20.0]",0.08,0.8,0.25020198,104,,,0,,False,2,test,1
515,0.0,213.40967,213.65987,null,4.0,"[3644.93333333, 3644.93333333]",null,40.0,0.0,gabors,-10.0,"[20.0, 20.0]",0.08,0.8,0.25020198,131,,,0,,False,1,train,0
516,0.0,213.65987,213.91007,null,4.0,"[3644.93333333, 3644.93333333]",null,30.0,0.0,gabors,0.0,"[20.0, 20.0]",0.08,0.8,0.25020198,226,,,0,,False,0,train,0
517,0.0,213.91007,214.16029,null,4.0,"[3644.93333333, 3644.93333333]",null,-10.0,45.0,gabors,40.0,"[20.0, 20.0]",0.08,0.8,0.25021302,116,,,0,,False,3,train,1
