stimulus_presentation_id,stimulus_block,start_time,stop_time,y_position,color,size,spatial_frequency,x_position,frame,contrast,stimulus_name,orientation,phase,temporal_frequency,duration,stimulus_condition_id,gaze_dx_deg,gaze_dy_deg,gaze_samples,gaze_within_trial_sd_deg,valid_gaze,repeat_index_within_condition,trial_split,orientation_index
2049,0.0,597.03472,597.28491,-20.0,null,"[20.0, 20.0]",0.08,-10.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25018934,215,,,0,,False,6,train,0
2050,0.0,597.28491,597.5351,-40.0,null,"[20.0, 20.0]",0.08,-10.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25018934,184,,,0,,False,8,test,0
2051,0.0,597.5351,597.78529,-10.0,null,"[20.0, 20.0]",0.08,-20.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25018934,147,,,0,,False,5,test,1
2052,0.0,597.78529,598.03548,20.0,null,"[20.0, 20.0]",0.08,-10.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25018934,47,,,0,,False,11,test,2
2053,0.0,598.03548,598.2857,20.0,null,"[20.0, 20.0]",0.08,-10.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25022066,122,,,0,,False,9,train,1
2054,0.0,598.2857,598.53592,40.0,null,"[20.0, 20.0]",0.08,40.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25022066,166,,,0,,False,8,test,0
2055,0.0,598.53592,598.78614,20.0,null,"[20.0, 20.0]",0.08,-30.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25022066,125,,,0,,False,7,train,1
2056,0.0,598.78614,599.03636,0.0,null,"[20.0, 20.0]",0.08,20.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25022066,72,,,0,,False,6,train,1
2057,0.0,599.03636,599.28656,30.0,null,"[20.0, 20.0]",0.08,30.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25019934,154,,,0,,False,8,test,2
2058,0.0,599.28656,599.53676,-20.0,null,"[20.0, 20.0]",0.08,-10.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25019934,239,,,0,,False,7,train,1
2059,0.0,599.53676,599.78696,-20.0,null,"[20.0, 20.0]",0.08,-40.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25019934,235,,,0,,False,10,train,2
2060,0.0,599.78696,600.03716,20.0,null,"[20.0, 20.0]",0.08,-10.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25019934,94,,,0,,False,7,train,0
2061,0.0,600.03716,600.28738,-30.0,null,"[20.0, 20.0]",0.08,-20.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25022566,21,,,0,,False,8,test,0
2062,0.0,600.28738,600.53761,-40.0,null,"[20.0, 20.0]",0.08,10.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25022566,30,,,0,,False,7,train,1
2063,0.0,600.53761,600.78784,-20.0,null,"[20.0, 20.0]",0.08,-30.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25022566,179,,,0,,False,7,train,1
2064,0.0,600.78784,601.03806,30.0,null,"[20.0, 20.0]",0.08,-40.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25022566,39,,,0,,False,10,train,2
2065,0.0,601.03806,601.28826,40.0,null,"[20.0, 20.0]",0.08,30.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25019434,81,,,0,,False,8,test,0
2066,0.0,601.28826,601.53845,-20.0,null,"[20.0, 20.0]",0.08,30.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25019434,126,,,0,,False,9,train,1
2067,0.0,601.53845,601.78864,-20.0,null,"[20.0, 20.0]",0.08,30.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25019434,181,,,0,,False,7,train,0
2068,0.0,601.78864,602.03884,-20.0,null,"[20.0, 20.0]",0.08,10.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25019434,206,,,0,,False,7,train,0
2069,0.0,602.03884,602.28906,-40.0,null,"[20.0, 20.0]",0.08,30.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25021816,1,,,0,,False,10,train,1
2070,0.0,602.28906,602.53927,-30.0,null,"[20.0, 20.0]",0.08,-10.0,null,0.8,gabors,45.0,"[3644.93333333, 3644.93333333]",4.0,0.25021816,212,,,0,,False,8,test,1
2071,0.0,602.53927,602.78949,-10.0,null,"[20.0, 20.0]",0.08,30.0,null,0.8,gabors,90.0,"[3644.93333333, 3644.93333333]",4.0,0.25021816,79,,,0,,False,9,train,2
2072,0.0,602.78949,603.03971,0.0,null,"[20.0, 20.0]",0.08,0.0,null,0.8,gabors,0.0,"[3644.93333333, 3644.93333333]",4.0,0.25021816,209,,,0,,False,8,test,0
