session_id,group,spatial_model,units,median_rotation_test_gain,fraction_rotation_gain_positive,median_rotation_area_ratio,axis_censored_fraction,rotation_bound_fraction,fit_model_seconds,maximum_model_seconds
835479236,V1,point,74,3.68520752e-05,0.527027027,0.993510545,0.162162162,0.0540540541,15.3890316,1.11237392
839068429,HVA,aperture,257,0.00026141115,0.575875486,0.999334887,0.272373541,0.260700389,755.380319,23.924442
839068429,HVA,point,257,0.000203312402,0.536964981,1.00229442,0.155642023,0.0739299611,61.2302494,3.87969481
839068429,V1,aperture,112,2.39681665e-05,0.544642857,0.999338349,0.232142857,0.303571429,332.450794,61.33196
839068429,V1,point,112,0.000144184815,0.553571429,0.994676578,0.00892857143,0.0535714286,22.708634,1.11818802
839557629,HVA,aperture,273,0.000352216776,0.608058608,0.999918478,0.194139194,0.208791209,624.983726,10.5124567
839557629,HVA,point,273,0.000259874854,0.582417582,0.999856587,0.120879121,0.113553114,45.826905,1.46719137
840012044,HVA,aperture,316,0.000153459813,0.556962025,0.998921161,0.17721519,0.208860759,768.365397,36.059851
840012044,HVA,point,316,8.3036974e-05,0.553797468,0.999115538,0.0601265823,0.0664556962,56.1904032,1.87458378
840012044,V1,aperture,80,-7.05883664e-07,0.4875,0.995937522,0.125,0.225,185.67826,8.69027422
840012044,V1,point,80,-4.28126439e-05,0.475,0.995683504,0,0.075,16.5304657,3.38674061
847657808,HVA,aperture,376,0.000230783351,0.571808511,0.999320806,0.199468085,0.162234043,948.729321,36.9818325
847657808,HVA,point,376,0.00022725704,0.54787234,0.999477563,0.125,0.0638297872,67.1188369,1.60225883
847657808,V1,aperture,82,3.80017996e-07,0.512195122,1,0.231707317,0.268292683,199.748491,16.5370119
847657808,V1,point,82,-0.00014997423,0.414634146,1.00026613,0.012195122,0.0365853659,14.9911691,1.08800164
